Location,id,number,name,address,count,latitude,longitude,number2
NYC,252,252,MacDougal St & Washington Sq,NaN,10,40.73226398,-73.99852205,252
NYC,484,484,W 44 St & 5 Ave,NaN,10,40.75500254,-73.98014437,484
NYC,329,329,Greenwich St & North Moore St,NaN,10,40.72015227023285,-74.01036500930786,329
NYC,358,358,Christopher St & Greenwich St,NaN,10,40.73291553,-74.00711384,358
NYC,315,315,South St & Gouverneur Ln,NaN,10,40.70355377,-74.00670227,315
NYC,477,477,W 41 St & 8 Ave,NaN,10,40.75640548,-73.9900262,477
NYC,428,428,E 3 St & 1 Ave,NaN,10,40.72467721,-73.98783413,428
NYC,3002,3002,South End Ave & Liberty St,NaN,10,40.711512,-74.01575600000002,3002
NYC,390,390,Duffield St & Willoughby St,NaN,10,40.69221589,-73.9842844,390
NYC,501,501,FDR Drive & E 35 St,NaN,10,40.744219,-73.97121214,501
NYC,351,351,Front St & Maiden Ln,NaN,10,40.70530954,-74.00612572,351
NYC,3265,3265,E 2 St & 2 Ave E,NaN,10,40.7245634290432,-73.9894437789917,3265
NYC,304,304,Broadway & Battery Pl,NaN,10,40.70463334,-74.01361706,304
NYC,284,284,Greenwich Ave & 8 Ave,NaN,10,40.7390169121,-74.0026376103,284
NYC,3314,3314,W 95 St & Broadway,NaN,10,40.7937704,-73.971888,3314
NYC,498,498,Broadway & W 32 St,NaN,10,40.74854862,-73.98808416,498
NYC,380,380,W 4 St & 7 Ave S,NaN,10,40.73401143,-74.00293877,380
NYC,3331,3331,Riverside Dr & W 104 St,NaN,10,40.8013434,-73.97114574390001,3331
NYC,386,386,Centre St & Worth St,NaN,10,40.71494807,-74.00234482,386
NYC,427,427,Bus Slip & State St,NaN,10,40.701907,-74.013942,427
NYC,347,347,Greenwich St & W Houston St,NaN,10,40.728846,-74.00859100000002,347
NYC,359,359,E 47 St & Park Ave,NaN,10,40.75510267,-73.97498696,359
NYC,3085,3085,Roebling St & N 4 St,NaN,10,40.71469,-73.95739,3085
NYC,360,360,William St & Pine St,NaN,10,40.70717936,-74.00887308,360
NYC,328,328,Watts St & Greenwich St,NaN,10,40.72405549,-74.00965965,328
NYC,446,446,W 24 St & 7 Ave,NaN,10,40.74487634,-73.99529885,446
NYC,520,520,W 52 St & 5 Ave,NaN,10,40.75992262,-73.97648516,520
NYC,2004,2004,6 Ave & Broome St,NaN,10,40.724399,-74.004704,2004
NYC,393,393,E 5 St & Avenue C,NaN,10,40.72299208,-73.97995466,393
NYC,401,401,Allen St & Rivington St,NaN,10,40.72019576,-73.98997825,401
NYC,376,376,John St & William St,NaN,10,40.70862144,-74.00722156,376
NYC,224,224,Spruce St & Nassau St,NaN,10,40.71146364,-74.00552427,224
NYC,319,319,Fulton St & Broadway,NaN,10,40.711066,-74.009447,319
NYC,2021,2021,W 45 St & 8 Ave,NaN,10,40.75929124,-73.98859651,2021
NYC,152,152,Warren St & Church St,NaN,10,40.71473993,-74.00910627,152
NYC,297,297,E 15 St & 3 Ave,NaN,10,40.734232,-73.986923,297
NYC,267,267,Broadway & W 36 St,NaN,10,40.75097711,-73.98765428,267
NYC,3442,3442,Indiana,NaN,10,0.0,0.0,3442
NYC,479,479,9 Ave & W 45 St,NaN,10,40.76019252,-73.9912551,479
